species,T_water_C,ceiling_label,scope_factor,kleiber_bmr_W,C_ceiling_W,q_loss_defended_W,q_met_defended_W,q_perf_defended_W,core_defended_C,deep_body_defended_C,status,Ta_emergent_C,core_emergent_C,deep_body_emergent_C,q_loss_emergent_W,core_below_guard,n_solver_evals,setpoint_C,core_min_guard_C
bowhead,-2.0,fmr_nominal,0.5020425192394082,16126.1241622829,8095.999999999999,20100.57177380333,8095.999999999999,11848.426963641083,33.90684332628729,34.054735900785886,core_falls,12.543749999999932,12.687792757237617,12.802120600271223,8160.77288075114,True,5,33.8,28.0
bowhead,-2.0,kleiber_x4.0,4.0,16126.1241622829,64504.4966491316,20100.57177380333,8095.999999999999,11848.426963641083,33.90684332628729,34.054735900785886,holds,33.8,33.90684332628729,34.054735900785886,20100.57177380333,False,0,33.8,28.0
bowhead,0.0,fmr_nominal,0.5020425192394082,16126.1241622829,8095.999999999999,21944.127052160973,8095.999999999999,13700.808442739934,33.92131412442416,34.05510004102666,core_falls,12.410937499999932,12.558109385479327,12.669094477311887,8051.795915482693,True,7,33.8,28.0
bowhead,0.0,kleiber_x4.0,4.0,16126.1241622829,64504.4966491316,21944.127052160973,8095.999999999999,13700.808442739934,33.92131412442416,34.05510004102666,holds,33.8,33.92131412442416,34.05510004102666,21944.127052160973,False,0,33.8,28.0
bowhead,5.0,fmr_nominal,0.5020425192394082,16126.1241622829,8095.999999999999,22864.409103644306,8095.999999999999,14642.991464244473,33.93330199295184,34.05459790547161,core_falls,15.125,15.271708213446516,15.382355838345347,8034.765557443199,True,7,33.8,28.0
bowhead,5.0,kleiber_x4.0,4.0,16126.1241622829,64504.4966491316,22864.409103644306,8095.999999999999,14642.991464244473,33.93330199295184,34.05459790547161,holds,33.8,33.93330199295184,34.05459790547161,22864.409103644306,False,0,33.8,28.0
bowhead,10.0,fmr_nominal,0.5020425192394082,16126.1241622829,8095.999999999999,19690.634879064724,8095.999999999999,11491.050650642363,33.93717458371259,34.05507293187577,core_falls,19.854687499999955,20.000837309471024,20.112093051261354,8147.664801830024,True,7,33.8,28.0
bowhead,10.0,kleiber_x4.0,4.0,16126.1241622829,64504.4966491316,19690.634879064724,8095.999999999999,11491.050650642363,33.93717458371259,34.05507293187577,holds,33.8,33.93717458371259,34.05507293187577,19690.634879064724,False,0,33.8,28.0
bowhead,15.0,fmr_nominal,0.5020425192394082,16126.1241622829,8095.999999999999,15652.44600093185,8095.999999999999,7474.680290454073,33.940378247206354,34.056419784983234,core_falls,24.693749999999966,24.839891568081896,24.951186275715713,8063.014154076969,True,6,33.8,28.0
bowhead,15.0,kleiber_x4.0,4.0,16126.1241622829,64504.4966491316,15652.44600093185,8095.999999999999,7474.680290454073,33.940378247206354,34.056419784983234,holds,33.8,33.940378247206354,34.056419784983234,15652.44600093185,False,0,33.8,28.0
bowhead,20.0,fmr_nominal,0.5020425192394082,16126.1241622829,8095.999999999999,11506.15954635037,8095.999999999999,3350.210123238807,33.94354163798556,34.056779515021844,core_falls,29.703125,29.84924509586989,29.96055920825421,8077.159895071423,False,6,33.8,28.0
bowhead,20.0,kleiber_x4.0,4.0,16126.1241622829,64504.4966491316,11506.15954635037,8095.999999999999,3350.210123238807,33.94354163798556,34.056779515021844,holds,33.8,33.94354163798556,34.056779515021844,11506.15954635037,False,0,33.8,28.0
bowhead,25.0,fmr_nominal,0.5020425192394082,16126.1241622829,8095.999999999999,7347.961633243529,8095.999999999999,-786.1676109167838,33.946705660053624,34.05756343487087,holds,33.8,33.946705660053624,34.05756343487087,7347.961633243529,False,0,33.8,28.0
bowhead,25.0,kleiber_x4.0,4.0,16126.1241622829,64504.4966491316,7347.961633243529,8095.999999999999,-786.1676109167838,33.946705660053624,34.05756343487087,holds,33.8,33.946705660053624,34.05756343487087,7347.961633243529,False,0,33.8,28.0
bowhead,28.0,fmr_nominal,0.5020425192394082,16126.1241622829,8095.999999999999,4852.34155489834,8095.999999999999,-3268.695248987858,33.948604560224226,34.0577581455824,holds,33.8,33.948604560224226,34.0577581455824,4852.34155489834,False,0,33.8,28.0
bowhead,28.0,kleiber_x4.0,4.0,16126.1241622829,64504.4966491316,4852.34155489834,8095.999999999999,-3268.695248987858,33.948604560224226,34.0577581455824,holds,33.8,33.948604560224226,34.0577581455824,4852.34155489834,False,0,33.8,28.0
bowhead,30.0,fmr_nominal,0.5020425192394082,16126.1241622829,8095.999999999999,3188.584383797401,8095.999999999999,-4923.767868721474,33.94987057809851,34.057792239353034,holds,33.8,33.94987057809851,34.057792239353034,3188.584383797401,False,0,33.8,28.0
bowhead,30.0,kleiber_x4.0,4.0,16126.1241622829,64504.4966491316,3188.584383797401,8095.999999999999,-4923.767868721474,33.94987057809851,34.057792239353034,holds,33.8,33.94987057809851,34.057792239353034,3188.584383797401,False,0,33.8,28.0
humpback,-2.0,fmr_nominal,0.5000157307108376,7727.756873782391,3864.0,25894.666423754086,3864.0,22029.571184286415,35.599141817672034,36.04309001781644,core_falls,3.4921875,3.508238076918815,3.5657049498807396,3835.43730983573,True,8,36.0,28.0
humpback,-2.0,kleiber_x4.0,4.0,7727.756873782391,30911.027495129565,25894.666423754086,3864.0,22029.571184286415,35.599141817672034,36.04309001781644,holds,36.0,35.599141817672034,36.04309001781644,25894.666423754086,False,0,36.0,28.0
humpback,0.0,fmr_nominal,0.5000157307108376,7727.756873782391,3864.0,24538.348793549252,3864.0,20673.299548798586,35.62482195326345,36.04401992612844,core_falls,5.484375,5.50050947464166,5.557898711234429,3830.235386942979,True,8,36.0,28.0
humpback,0.0,kleiber_x4.0,4.0,7727.756873782391,30911.027495129565,24538.348793549252,3864.0,20673.299548798586,35.62482195326345,36.04401992612844,holds,36.0,35.62482195326345,36.04401992612844,24538.348793549252,False,0,36.0,28.0
humpback,5.0,fmr_nominal,0.5000157307108376,7727.756873782391,3864.0,21153.726159388807,3864.0,17288.851234640537,35.689206269542694,36.046634063291094,core_falls,10.5703125,10.585343309674215,10.64377234435267,3890.0224075733963,True,7,36.0,28.0
humpback,5.0,kleiber_x4.0,4.0,7727.756873782391,30911.027495129565,21153.726159388807,3864.0,17288.851234640537,35.689206269542694,36.046634063291094,holds,36.0,35.689206269542694,36.046634063291094,21153.726159388807,False,0,36.0,28.0
humpback,10.0,fmr_nominal,0.5000157307108376,7727.756873782391,3864.0,17811.162544206298,3864.0,13946.483449783578,35.754835175659935,36.04946092167302,core_falls,15.484375,15.500510683032871,15.557898713926988,3842.3548535200352,True,7,36.0,28.0
humpback,10.0,kleiber_x4.0,4.0,7727.756873782391,30911.027495129565,17811.162544206298,3864.0,13946.483449783578,35.754835175659935,36.04946092167302,holds,36.0,35.754835175659935,36.04946092167302,17811.162544206298,False,0,36.0,28.0
humpback,15.0,fmr_nominal,0.5000157307108376,7727.756873782391,3864.0,14706.536282081132,3864.0,10842.20049062575,35.82654796603987,36.053328473419754,core_falls,20.4140625,20.43112797466165,20.487681482044763,3870.114982077201,True,7,36.0,28.0
humpback,15.0,kleiber_x4.0,4.0,7727.756873782391,30911.027495129565,14706.536282081132,3864.0,10842.20049062575,35.82654796603987,36.053328473419754,holds,36.0,35.82654796603987,36.053328473419754,14706.536282081132,False,0,36.0,28.0
humpback,20.0,fmr_nominal,0.5000157307108376,7727.756873782391,3864.0,12620.965696093355,3864.0,8756.911839350054,35.913162520719936,36.05780848299082,core_falls,24.8125,24.836287147568328,24.88671915711018,3862.6124639460213,True,8,36.0,28.0
humpback,20.0,kleiber_x4.0,4.0,7727.756873782391,30911.027495129565,12620.965696093355,3864.0,8756.911839350054,35.913162520719936,36.05780848299082,holds,36.0,35.913162520719936,36.05780848299082,12620.965696093355,False,0,36.0,28.0
humpback,25.0,fmr_nominal,0.5000157307108376,7727.756873782391,3864.0,11655.139999279734,3864.0,7791.132525595633,35.985867692827924,36.06356618791904,core_falls,28.609375,28.640849441678427,28.68418400263556,3874.879136837926,False,6,36.0,28.0
humpback,25.0,kleiber_x4.0,4.0,7727.756873782391,30911.027495129565,11655.139999279734,3864.0,7791.132525595633,35.985867692827924,36.06356618791904,holds,36.0,35.985867692827924,36.06356618791904,11655.139999279734,False,0,36.0,28.0
humpback,28.0,fmr_nominal,0.5000157307108376,7727.756873782391,3864.0,9727.149300218352,3864.0,5863.144028582885,36.00843467042802,36.068882088655755,core_falls,31.125,31.157626234494728,31.199733269663056,3840.829504609784,False,6,36.0,28.0
humpback,28.0,kleiber_x4.0,4.0,7727.756873782391,30911.027495129565,9727.149300218352,3864.0,5863.144028582885,36.00843467042802,36.068882088655755,holds,36.0,36.00843467042802,36.068882088655755,9727.149300218352,False,0,36.0,28.0
humpback,30.0,fmr_nominal,0.5000157307108376,7727.756873782391,3864.0,7660.649312236934,3864.0,3796.64510773066,36.018853646741036,36.07250866251229,core_falls,33.0,33.03263997605535,33.074763941346475,3862.8367697169074,False,1,36.0,28.0
humpback,30.0,kleiber_x4.0,4.0,7727.756873782391,30911.027495129565,7660.649312236934,3864.0,3796.64510773066,36.018853646741036,36.07250866251229,holds,36.0,36.018853646741036,36.07250866251229,7660.649312236934,False,0,36.0,28.0
minke,-2.0,fmr_nominal,1.201821784252074,2594.394643911714,3118.0000000000005,5701.191128470065,3118.0000000000005,2582.8053468714706,34.698263413277914,35.226026570845306,core_falls,17.9453125,17.9854503705846,18.172789410682924,3120.611727842925,True,7,35.0,28.0
minke,-2.0,kleiber_x4.0,4.0,2594.394643911714,10377.578575646856,5701.191128470065,3118.0000000000005,2582.8053468714706,34.698263413277914,35.226026570845306,holds,35.0,34.698263413277914,35.226026570845306,5701.191128470065,False,0,35.0,28.0
minke,0.0,fmr_nominal,1.201821784252074,2594.394643911714,3118.0000000000005,5435.030987255753,3118.0000000000005,2316.7494961731045,34.7431220177794,35.22590594919723,core_falls,19.6875,19.73286121623778,19.914610860174037,3101.677467029475,True,4,35.0,28.0
