species,element_size,tag,status,plc_error,n_nodes,n_tets,core_temp_C,q_loss_W,deep_body_C,gen_s,solve_s
bowhead,0.1,100,gmsh_failed,True,,,,,,,
bowhead,0.07,070,gmsh_failed,True,,,,,,,
bowhead,0.05,050,gmsh_failed,True,,,,,,,
