section,parameter,value,units,notes,source_reference
blubber_thickness,scaling_function,t(s) = t_max * multiplier(region) * exp(-k * |s - s_girth|),,,See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
blubber_thickness,decay_constant_k,3.0,,,See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
muscle_thickness,thickness_m,0.15,m,Simplified as constant thickness layer between blubber and core,See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
