species,q_loss_W,core_temp_C,T_max_C,T_min_C,alive,solve_s,u_k_blub,u_BCI,u_h,u_omega_core,u_cche,u_ava,u_Ttn,u_fmr,phys_k_blub_scale,phys_BCI,phys_h_scale,phys_omega_core,phys_rete_eff,phys_ava,phys_Ttn,phys_fmr_watts,design,design_idx,morris_traj,morris_step
humpback,28604.047578537393,35.61826389503631,36.48696679335484,-1.5785467890823952,1,64.2,0.6,0.6,0.0,0.6,0.4,0.8,0.6,0.6,1.07,0.88,0.75,0.8,0.7989999999999999,0.7,26.0,4095.84,morris,25,2,7
humpback,28384.658811620866,35.65150492762177,36.7670690036087,-2.0283492005394237,1,80.0,0.6,0.6,0.0,0.6,1.0,0.8,0.6,0.6,1.07,0.88,0.75,0.8,0.98,0.7,26.0,4095.84,morris,26,2,8
humpback,27118.012810788627,35.55924464051259,37.29192356478126,-1.827015494651505,1,103.7,0.8,0.4,0.0,0.0,0.8,0.8,0.8,0.8,1.1600000000000001,0.82,0.75,0.5,0.98,0.7,28.0,4559.52,morris,27,3,0
humpback,25815.0450181938,35.61202148308735,37.309480113452594,-1.8242695530145738,1,106.3,0.2,0.4,0.0,0.0,0.8,0.8,0.8,0.8,0.89,0.82,0.75,0.5,0.98,0.7,28.0,4559.52,morris,28,3,1
humpback,28068.40902803955,35.57501820515728,37.30408002921541,-2.0813748219634363,1,102.7,0.2,0.4,0.6,0.0,0.8,0.8,0.8,0.8,0.89,0.82,1.2,0.5,0.98,0.7,28.0,4559.52,morris,29,3,2
humpback,30445.723119544535,35.64840223982719,36.873425538478216,-2.268981147647821,1,102.3,0.2,0.4,0.6,0.6,0.8,0.8,0.8,0.8,0.89,0.82,1.2,0.8,0.98,0.7,28.0,4559.52,morris,30,3,3
humpback,30448.542858656027,35.64846541586593,36.87308871346795,-2.2687231325110133,1,102.8,0.2,0.4,0.6,0.6,0.8,0.8,0.2,0.8,0.89,0.82,1.2,0.8,0.98,0.7,22.0,4559.52,morris,31,3,4
humpback,25105.019433724403,35.60207331641976,36.85576578080645,-2.696628857826738,1,103.6,0.2,0.4,0.6,0.6,0.8,0.2,0.2,0.8,0.89,0.82,1.2,0.8,0.98,0.4,22.0,4559.52,morris,32,3,5
humpback,25466.97952099435,35.549452733702594,36.49399734064974,-2.425225856295242,1,104.3,0.2,0.4,0.6,0.6,0.2,0.2,0.2,0.8,0.89,0.82,1.2,0.8,0.697,0.4,22.0,4559.52,morris,33,3,6
humpback,25424.536217568955,35.51846481640655,36.45800265661319,-2.4271199192420454,1,104.1,0.2,0.4,0.6,0.6,0.2,0.2,0.2,0.2,0.89,0.82,1.2,0.8,0.697,0.4,22.0,3168.48,morris,34,3,7
