species,q_loss_W,core_temp_C,T_max_C,T_min_C,alive,solve_s,u_k_blub,u_BCI,u_h,u_omega_core,u_cche,u_ava,u_Ttn,u_fmr,phys_k_blub_scale,phys_BCI,phys_h_scale,phys_omega_core,phys_rete_eff,phys_ava,phys_Ttn,phys_fmr_watts,design,design_idx,morris_traj,morris_step
bowhead,18102.76357949667,33.88787956294897,35.851882606493405,-1.9782015491970242,1,125.8,0.0,0.0,0.6,0.6,0.4,0.2,0.6,0.6,0.8,0.7,1.2,0.8,0.7989999999999999,0.4,1.0,8581.76,morris,21,2,3
bowhead,16952.08742759976,33.894073061070515,35.74907697700979,-1.8596879273582658,1,128.6,0.0,0.0,0.0,0.6,0.4,0.2,0.6,0.6,0.8,0.7,0.75,0.8,0.7989999999999999,0.4,1.0,8581.76,morris,22,2,4
bowhead,15740.762310654409,33.90377679549414,35.9555680536327,-1.9445902872767533,1,126.9,0.0,0.6,0.0,0.6,0.4,0.2,0.6,0.6,0.8,0.88,0.75,0.8,0.7989999999999999,0.4,1.0,8581.76,morris,23,2,5
bowhead,17313.410019919786,33.891113200355164,35.682873689969995,-1.8292946936578574,1,73.3,0.6,0.6,0.0,0.6,0.4,0.2,0.6,0.6,1.07,0.88,0.75,0.8,0.7989999999999999,0.4,1.0,8581.76,morris,24,2,6
bowhead,21613.783004996418,33.91445489421153,36.264227330489405,-1.9468713511326428,1,72.3,0.6,0.6,0.0,0.6,0.4,0.8,0.6,0.6,1.07,0.88,0.75,0.8,0.7989999999999999,0.7,1.0,8581.76,morris,25,2,7
bowhead,21525.054255106454,33.92583814258404,36.66548663453693,-1.9468599881333262,1,90.7,0.6,0.6,0.0,0.6,1.0,0.8,0.6,0.6,1.07,0.88,0.75,0.8,0.98,0.7,1.0,8581.76,morris,26,2,8
bowhead,19736.900665805722,34.0224049446893,37.77800949340656,-1.8237246973416177,1,107.7,0.8,0.4,0.0,0.0,0.8,0.8,0.8,0.8,1.1600000000000001,0.82,0.75,0.5,0.98,0.7,3.0,9553.28,morris,27,3,0
bowhead,18201.37478095398,34.039041885439474,38.30318428148337,-1.9834682919762372,1,107.5,0.2,0.4,0.0,0.0,0.8,0.8,0.8,0.8,0.89,0.82,0.75,0.5,0.98,0.7,3.0,9553.28,morris,28,3,1
bowhead,19713.753791945932,34.03227297337662,38.558280455313536,-2.073452566549861,1,106.6,0.2,0.4,0.6,0.0,0.8,0.8,0.8,0.8,0.89,0.82,1.2,0.5,0.98,0.7,3.0,9553.28,morris,29,3,2
bowhead,19913.350558841455,33.931649239151284,37.48272871915043,-2.067950388754923,1,109.7,0.2,0.4,0.6,0.6,0.8,0.8,0.8,0.8,0.89,0.82,1.2,0.8,0.98,0.7,3.0,9553.28,morris,30,3,3
bowhead,30761.55852860398,33.95908916741962,35.97379114291152,-2.2062716475048774,1,109.1,0.2,0.4,0.6,0.6,0.8,0.8,0.2,0.8,0.89,0.82,1.2,0.8,0.98,0.7,-3.0,9553.28,morris,31,3,4
bowhead,23445.01551550047,33.94879103157501,35.893970706619086,-2.0568476825172297,1,110.2,0.2,0.4,0.6,0.6,0.8,0.2,0.2,0.8,0.89,0.82,1.2,0.8,0.98,0.4,-3.0,9553.28,morris,32,3,5
bowhead,23615.23843900615,33.93626698951459,35.62857451393285,-2.0568497258972798,1,112.0,0.2,0.4,0.6,0.6,0.2,0.2,0.2,0.8,0.89,0.82,1.2,0.8,0.697,0.4,-3.0,9553.28,morris,33,3,6
bowhead,23600.854088192536,33.87865813143759,35.44649423974619,-2.056902997266718,1,112.8,0.2,0.4,0.6,0.6,0.2,0.2,0.2,0.2,0.89,0.82,1.2,0.8,0.697,0.4,-3.0,6638.719999999999,morris,34,3,7
bowhead,22410.033954498424,33.88379255758514,35.47531429952522,-2.073406164090386,1,110.8,0.2,1.0,0.6,0.6,0.2,0.2,0.2,0.2,0.89,1.0,1.2,0.8,0.697,0.4,-3.0,6638.719999999999,morris,35,3,8
bowhead,29599.4602769774,33.98736087043466,35.87095162763575,-2.1220832979677198,1,114.0,0.8,0.8,0.2,0.2,1.0,0.6,0.0,0.6,1.1600000000000001,0.94,0.9,0.6,0.98,0.6,-5.0,8581.76,morris,36,4,0
bowhead,32958.016411880344,33.98422187791476,36.13055337464817,-2.1807293261364293,1,112.7,0.8,0.8,0.8,0.2,1.0,0.6,0.0,0.6,1.1600000000000001,0.94,1.35,0.6,0.98,0.6,-5.0,8581.76,morris,37,4,1
bowhead,34608.0188406295,33.97794574075152,36.15605414598468,-2.1343226433224913,1,114.6,0.8,0.2,0.8,0.2,1.0,0.6,0.0,0.6,1.1600000000000001,0.76,1.35,0.6,0.98,0.6,-5.0,8581.76,morris,38,4,2
bowhead,23914.257787080984,33.94847849455533,37.11163795285222,-2.018617659680558,1,113.3,0.8,0.2,0.8,0.2,1.0,0.6,0.6,0.6,1.1600000000000001,0.76,1.35,0.6,0.98,0.6,1.0,8581.76,morris,39,4,3
bowhead,23893.13723616924,33.8667412622799,36.6951217647038,-2.0187124845468816,1,114.8,0.8,0.2,0.8,0.2,1.0,0.6,0.6,0.0,1.1600000000000001,0.76,1.35,0.6,0.98,0.6,1.0,5667.2,morris,40,4,4
bowhead,24175.08535138074,33.83264328232747,36.11207884404621,-2.0121948215860925,1,114.1,0.8,0.2,0.8,0.8,1.0,0.6,0.6,0.0,1.1600000000000001,0.76,1.35,0.9,0.98,0.6,1.0,5667.2,morris,41,4,5
bowhead,18114.80965000264,33.80404029453422,35.17707751882466,-1.904613661074734,1,112.7,0.8,0.2,0.8,0.8,1.0,0.0,0.6,0.0,1.1600000000000001,0.76,1.35,0.9,0.98,0.3,1.0,5667.2,morris,42,4,6
