species,common_name,variant,parameter_group,parameter_level,description,T_water_C,mode,thermoneutral_C,cche_saturation_C,appendage_perfusion_max,h_scale,cche_max_delta,blubber_k_scale,body_condition_index,core_temp_C,T_min_C,T_max_C,Q_loss_W,maintenance_Mcal_day,TES,thermal_window_fraction,R_spec_m2K_W,FAmin_uncapped,alive,death_cause,energy_balance,delta_core_C,delta_TES,delta_Q_loss_W,delta_Q_loss_pct,delta_Mcal_day,delta_Mcal_day_pct
humpback,Humpback Whale,baseline,baseline,nominal,Nominal parameter set,-2.0,active,25.0,5.0,0.5,1.0,0.0,1.0,1.0,35.599141817672034,-2.357068189835502,36.48213351260307,25894.666423754083,534.7273372400462,-0.8966684302737565,0.4368156641673511,0.1834235015648326,6.7015182256092345,True,,"{""deep_body_C"": 36.04309001781644, ""interface_C"": 34.573099762712445, ""q_balance_resid_frac"": 4.2295948121069e-05, ""q_loss_W"": 25894.666423754086, ""q_loss_over_q_met"": 6.701518225609235, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 22029.571184286415, ""q_perf_over_q_met"": 5.701234778542033, ""skin_C"": 1.7664716243791077}",0.0,0.0,0.0,0.0,0.0,0.0
humpback,Humpback Whale,baseline,baseline,nominal,Nominal parameter set,10.0,active,25.0,5.0,0.5,1.0,0.0,1.0,1.0,35.754835175659935,9.763357256624772,36.46877433900568,17811.1625442063,367.8022093258663,-0.8951481511919889,0.4387552227948571,0.18342043664913654,4.609514115995419,True,,"{""deep_body_C"": 36.04946092167302, ""interface_C"": 35.06563444538739, ""q_balance_resid_frac"": 3.81274619797612e-05, ""q_loss_W"": 17811.162544206298, ""q_loss_over_q_met"": 4.6095141159954185, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 13946.483449783578, ""q_perf_over_q_met"": 3.609338366921216, ""skin_C"": 12.593078236596284}",0.0,0.0,0.0,0.0,0.0,0.0
humpback,Humpback Whale,baseline,baseline,nominal,Nominal parameter set,30.0,active,25.0,5.0,0.5,1.0,0.0,1.0,1.0,36.018853646741036,30.050122139743053,36.343042286872276,7660.649312236933,158.19314067334395,-0.3506227497995717,0.6236730184866921,0.10219700855745092,1.9825696977838854,True,,"{""deep_body_C"": 36.07250866251229, ""interface_C"": 35.88827671606953, ""q_balance_resid_frac"": 5.488446347482132e-07, ""q_loss_W"": 7660.649312236934, ""q_loss_over_q_met"": 1.9825696977838856, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 3796.64510773066, ""q_perf_over_q_met"": 0.9825686096611439, ""skin_C"": 31.20745469472928}",0.0,0.0,0.0,0.0,0.0,0.0
humpback,Humpback Whale,lambda_2p5,lambda,2.5 C,Fast CCHE saturation,-2.0,active,25.0,2.5,0.5,1.0,0.0,1.0,1.0,35.5991209900385,-2.357136707033362,36.482184318294514,25893.945412381516,534.7124482862722,-0.8966810766193403,0.4368040475618872,0.18342885112298332,6.701331628463125,True,,"{""deep_body_C"": 36.043090017824056, ""interface_C"": 34.57309921976258, ""q_balance_resid_frac"": 4.3088479145737136e-05, ""q_loss_W"": 25893.945412381516, ""q_loss_over_q_met"": 6.701331628463125, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 22028.829681654614, ""q_perf_over_q_met"": 5.701042878275003, ""skin_C"": 1.76633799248566}",-2.082763353428163e-05,-1.2646345583733343e-05,-0.7210113725668634,-0.002784401083867427,-0.014888953773947833,-0.0027844010838862323
humpback,Humpback Whale,lambda_2p5,lambda,2.5 C,Fast CCHE saturation,10.0,active,25.0,2.5,0.5,1.0,0.0,1.0,1.0,35.75303160421504,9.757575329986707,36.47435830279926,17751.339105443032,366.56684959614677,-0.8966772677392342,0.4373531127601789,0.18407740380630302,4.594031859586706,True,,"{""deep_body_C"": 36.04946092171855, ""interface_C"": 35.06559001418583, ""q_balance_resid_frac"": 4.085610725246261e-05, ""q_loss_W"": 17751.339105443032, ""q_loss_over_q_met"": 4.594031859586706, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 13886.613854828665, ""q_perf_over_q_met"": 3.5938441653283295, ""skin_C"": 12.581935588686974}",-0.0018035714448956242,-0.0015291165472453017,-59.82343876326922,-0.335876103622045,-1.2353597297195051,-0.3358761036220417
humpback,Humpback Whale,lambda_2p5,lambda,2.5 C,Fast CCHE saturation,30.0,active,25.0,2.5,0.5,1.0,0.0,1.0,1.0,36.01923268437065,30.050122113366,36.349986196570626,7959.034716701505,164.35482780186663,-0.2878725093166021,0.6314490482354242,0.0984733110528363,2.0597915933492508,True,,"{""deep_body_C"": 36.072489095359344, ""interface_C"": 35.8884064117986, ""q_balance_resid_frac"": 4.978690831557356e-07, ""q_loss_W"": 7959.034716701504, ""q_loss_over_q_met"": 2.0597915933492508, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 4095.030754144187, ""q_perf_over_q_met"": 1.0597905678426984, ""skin_C"": 31.256561016868375}",0.0003790376296137765,0.06275024048296962,298.3854044645723,3.895040646070807,6.161687128522686,3.895040646070788
humpback,Humpback Whale,lambda_10,lambda,10 C,Moderate CCHE saturation,-2.0,active,25.0,10.0,0.5,1.0,0.0,1.0,1.0,35.604285000053096,-2.3417353148847155,36.474303158350494,26053.428345469023,538.0057861014635,-0.8938935705813456,0.4393626737160087,0.18226867712493403,6.742605679469209,True,,"{""deep_body_C"": 36.04312874174593, ""interface_C"": 34.57321899187889, ""q_balance_resid_frac"": 3.7186352494103865e-05, ""q_loss_W"": 26053.428345469016, ""q_loss_over_q_met"": 6.742605679469207, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 22188.45951349888, ""q_perf_over_q_met"": 5.742354946557682, ""skin_C"": 1.7960172682238067}",0.005143182381061706,0.0027748596924109803,158.7619217149404,0.6131066495195417,3.2784488614173597,0.6131066495195141
humpback,Humpback Whale,lambda_10,lambda,10 C,Moderate CCHE saturation,10.0,active,25.0,10.0,0.5,1.0,0.0,1.0,1.0,35.78265873077197,9.89360817179147,36.38420442832427,18868.53733984102,389.63709994317975,-0.867278966430962,0.4619600231646026,0.17258852864733645,4.883161837432976,True,,"{""deep_body_C"": 36.04944561807383, ""interface_C"": 35.06641319405031, ""q_balance_resid_frac"": 1.1372488923106527e-05, ""q_loss_W"": 18868.53733984102, ""q_loss_over_q_met"": 4.883161837432976, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 15004.322757609127, ""q_perf_over_q_met"": 3.88310630372907, ""skin_C"": 12.788362049909665}",0.027823555112036047,0.027869184761026844,1057.3747956347179,5.936584953454741,21.834890617313476,5.936584953454738
humpback,Humpback Whale,lambda_10,lambda,10 C,Moderate CCHE saturation,30.0,active,25.0,10.0,0.5,1.0,0.0,1.0,1.0,36.01817393728567,30.050122522460015,36.326324182584926,7191.570268569903,148.50661357658691,-0.4434545228576214,0.6100379457440479,0.10857600882345864,1.861172429754116,True,,"{""deep_body_C"": 36.072568775592, ""interface_C"": 35.88806512674637, ""q_balance_resid_frac"": 5.633633138834759e-07, ""q_loss_W"": 7191.570268569903, ""q_loss_over_q_met"": 1.861172429754116, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 3327.566217103045, ""q_perf_over_q_met"": 0.8611713812378481, ""skin_C"": 31.129936681928655}",-0.0006797094553689931,-0.09283177305804968,-469.0790436670295,-6.123228261052678,-9.686527096757032,-6.123228261052689
humpback,Humpback Whale,lambda_15,lambda,15 C,Slow CCHE saturation,-2.0,active,25.0,15.0,0.5,1.0,0.0,1.0,1.0,35.62725823946937,-2.255189906111582,36.45422707918851,26823.486430427973,553.9075591751856,-0.8801920237446561,0.45125514121347293,0.17694366554814117,6.941896074127322,True,,"{""deep_body_C"": 36.04309001778046, ""interface_C"": 34.57379481798813, ""q_balance_resid_frac"": 1.9100438121250085e-05, ""q_loss_W"": 26823.486430427973, ""q_loss_over_q_met"": 6.941896074127322, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 22958.974090085212, ""q_perf_over_q_met"": 5.941763480870914, ""skin_C"": 1.9386510012133158}",0.028116421797335533,0.01647640652910043,928.82000667389,3.586916284126568,19.180221935139457,3.58691628412654
